花蓮: 597 total, 192 candidates
  [112] 爭鮮PLUS-花蓮店 (rating=4.8, reviews=5045, popular)
  [117] 栄次郎個人燒肉plus+ 花蓮中山店 (rating=4.8, reviews=1221, popular)
  [121] 西堤牛排 花蓮中山店 (rating=4.8, reviews=14372, popular)
  [125] 沐舍-蜜滋賀溫泉飯店 (rating=4.8, reviews=2336, popular)
  [126] 安德森幸福莊園 (rating=4.8, reviews=1178, popular)
  [135] 物語食堂＆精油工坊 (rating=4.8, reviews=4151, popular)
  [140] 職牛-炭火乾式熟成牛排館 Vintage steakhouse ｜40人包場空間｜熟成牛排｜約會｜慶生｜聚餐 (rating=4.7, reviews=1003, popular)
  [143] 壽豐小吃慶豐店 (rating=4.7, reviews=3720, popular)
  [159] 陳家食堂 (rating=4.7, reviews=1986, popular)
  [160] 六里屯麵食專家 美崙旗艦店 (rating=4.7, reviews=3746, popular)
  [165] 石屋燒肉 (rating=4.7, reviews=6619, popular)
  [168] Caffe Fiore珈琲花 (rating=4.7, reviews=1016, popular)
  [174] 櫻花壽司日本料理 (rating=4.7, reviews=5582, popular)
  [181] 杜倫先生丨花蓮名產丨伴手禮｜麻糬｜甜點｜蛋糕 (rating=4.7, reviews=3434, popular)
  [182] 八百里燒肉 (rating=4.7, reviews=2954, popular)
  [185] 歐鄉牛排館花蓮店 (rating=4.7, reviews=7783, popular)
  [186] 來來牛排花蓮店 (rating=4.7, reviews=6185, popular)
  [193] 北方早點丨燒餅加料、鹹豆漿 (rating=4.7, reviews=1112, popular)
  [221] 源寶屋咖哩麵包 (rating=4.6, reviews=1135, popular)
  [222] 玉里金針山周邊山產 (rating=4.6, reviews=1480, popular)
  [223] 小巷茉莉 (rating=4.6, reviews=2301, popular)
  [224] 兩津農莊食堂（干城） (rating=4.6, reviews=1293, popular)
  [227] 六里屯麵食專家 (rating=4.6, reviews=3072, popular)
  [229] 上老石鍋花蓮旗艦店 (rating=4.6, reviews=2793, popular)
  [231] 喫鍋小火鍋 (rating=4.6, reviews=1108, popular)
  [232] 億品鍋-花蓮吉安店｜花蓮推薦美食｜花蓮排隊美食|花蓮吃到飽｜ (rating=4.6, reviews=1653, popular)
  [237] 豆 茶寮 (rating=4.6, reviews=1866, popular)
  [238] 林記明禮路葱油餅 (rating=4.6, reviews=1608, popular)
  [239] 阿傳師麻糬 (rating=4.6, reviews=2362, popular)
  [250] 花蓮赤物日式燒肉 (rating=4.6, reviews=1272, popular)
  [251] 米卡多牛排館 (rating=4.6, reviews=1745, popular)
  [255] 桔客牛排 (rating=4.6, reviews=1432, popular)
  [269] 新社噶瑪蘭小吃店 (rating=4.6, reviews=2268, popular)
  [270] 阿卿海鮮店 (rating=4.6, reviews=1049, popular)
  [281] 鳳林牛肉麵 (rating=4.5, reviews=3434, popular)
  [282] 孫叔叔牛骨牛肉麵 (rating=4.5, reviews=3434, popular)
  [285] 瑞穗舞鶴茶園茶餐 (rating=4.5, reviews=1541, popular)
  [288] 時光1939 (rating=4.5, reviews=1384, popular)
  [290] 伊娜的部落廚房 (rating=4.5, reviews=1306, popular)
  [297] 八丼手作日式料理（沒有接受訂位，只接現場客人） (rating=4.5, reviews=2709, popular)
  [300] 時光旅人 (rating=4.5, reviews=1127, popular)
  [307] 千兵衛炭火燒肉-花蓮店 (rating=4.5, reviews=3407, popular)
  [309] 紐約客牛排館 (rating=4.5, reviews=2844, popular)
  [312] 芳草古樹花園｜餐廳｜民宿｜𝟭𝟭月公休𝟭.𝟮.𝟯.𝟰.𝟱.𝟲.𝟳.𝟭𝟯.𝟮𝟳日 (rating=4.5, reviews=1472, popular)
  [332] 半天紅麻辣館（馨生保護服務據點） (rating=4.5, reviews=1780, popular)
  [334] 啄木鳥的家 WPCASA (rating=4.5, reviews=1419, popular)
  [335] 南安瀑布 (rating=4.5, reviews=1915, popular)
  [345] 鳳林花生豆腐 (rating=4.4, reviews=2031, popular)
  [348] 西村的家食堂 (rating=4.4, reviews=2068, popular)
  [349] 闔家歡南北餚餐館-Family Pleasure (rating=4.4, reviews=3516, popular)
  [350] 西村的家 (rating=4.4, reviews=2068, popular)
  [351] 阿姑的店 (rating=4.4, reviews=1139, popular)
  [352] 松湖驛站 (rating=4.4, reviews=3131, popular)
  [354] 小和山谷 (rating=4.4, reviews=3759, popular)
  [355] 小檳城特色南洋麵食 (rating=4.4, reviews=1233, popular)
  [364] 歐桑米粉湯 (rating=4.4, reviews=4004, popular)
  [366] 邊境法式點心坊 (rating=4.4, reviews=2591, popular)
  [367] 博愛街黑白切米粉湯 (rating=4.4, reviews=1387, popular)
  [368] 福建街香腸 (rating=4.4, reviews=1540, popular)
  [370] 椿山日本料理 (rating=4.4, reviews=1003, popular)
  [372] COUNTRY MOTHER'S (rating=4.4, reviews=2330, popular)
  [373] 府前食坊 (rating=4.4, reviews=2079, popular)
  [375] 山東豆漿大王（10點以前林森路有免費停車格) (rating=4.4, reviews=2873, popular)
  [376] 大漢早點《市區總店》 (rating=4.4, reviews=1121, popular)
  [377] 大碗公冰•甜品（花蓮博愛店）-花蓮刨冰推薦|必吃甜品|特色冰店|人氣冰店|水果冰品|首選冰店|在地推薦冰店|綿綿冰推薦 (rating=4.4, reviews=1545, popular)
  [378] 豐春冰菓店 (rating=4.4, reviews=4966, popular)
  [379] 三立冰淇淋 (rating=4.4, reviews=2316, popular)
  [381] 蔡記豆花 (rating=4.4, reviews=3723, popular)
  [382] 火車頭烤肉屋 (rating=4.4, reviews=2920, popular)
  [384] WoodHouse 木宅餐館 (rating=4.4, reviews=2579, popular)
  [386] 遺忘的故鄉 月廬食堂 (rating=4.4, reviews=2534, popular)
  [389] 椰子林溫泉飯店 (rating=4.4, reviews=2058, popular)
  [390] 瑞穗天合國際觀光酒店 (rating=4.4, reviews=9051, popular)
  [398] G九屋私房特色菜（無素食） (rating=4.4, reviews=1572, popular)
  [399] 花蓮 星晟棧渡假飯店 (rating=4.4, reviews=2238, popular)
  [400] 美好花生 (rating=4.4, reviews=2031, popular)
  [402] 藍藍飲食店 (rating=4.4, reviews=1163, popular)
  [415] 玉里橋頭臭豆腐-花蓮店 (rating=4.3, reviews=7419, popular)
  [417] 玉里橋頭臭豆腐 (rating=4.3, reviews=7417, popular)
  [418] 慶豐麵店 (rating=4.3, reviews=3607, popular)
  [421] 森山舎 morning mountain (rating=4.3, reviews=2258, popular)
  [422] 家咖哩 花蓮將軍府店 (rating=4.3, reviews=5589, popular)
  [423] 洋基牧場 (rating=4.3, reviews=2214, popular)
  [432] 福源海鮮 (rating=4.3, reviews=1275, popular)
  [433] 連記海產 (rating=4.3, reviews=1201, popular)
  [435] 屋銤海鮮 (rating=4.3, reviews=2117, popular)
  [442] 原商校街冰店 (rating=4.3, reviews=1090, popular)
  [443] 歪歪歪甜點 YYY Dessert (rating=4.3, reviews=1373, popular)
  [448] 肉肉餐桌牛排館 (rating=4.3, reviews=1286, popular)
  [461] 常春藤素食(Buffet)吃到飽餐廳 (rating=4.3, reviews=2183, popular)
  [470] 慕名私房料理（歡迎線上訂位或建議提前來電詢問） (rating=4.3, reviews=2513, popular)
  [471] 原野牧場 (rating=4.3, reviews=3297, popular)
  [472] 伊娜飛魚餐廳 (rating=4.3, reviews=1950, popular)
  [478] 單一純賣 雞湯 小卷米粉 (rating=4.2, reviews=5309, popular)
  [480] 老家後山菜瑞穗店 (rating=4.2, reviews=1631, popular)
  [481] 老牌炸蛋蔥油餅（藍車） (rating=4.2, reviews=3397, popular)
  [482] 光復糖廠冰品 (rating=4.2, reviews=1613, popular)
  [483] 光復馬太鞍濕地風味餐 (rating=4.2, reviews=1069, popular)
  [485] 馬蓋先美食玉里麵 (rating=4.2, reviews=2673, popular)
  [486] 小木屋玉里麵 (rating=4.2, reviews=2495, popular)
  [487] 禾田野 (簡餐及窯烤比薩) (rating=4.2, reviews=1788, popular)
  [489] 幽靈餐車 (rating=4.2, reviews=1710, popular)
  [491] 難得美食刀削麵 (rating=4.2, reviews=1029, popular)
  [492] 六扇門時尚湯鍋花蓮中山店 (rating=4.2, reviews=1213, popular)
  [493] 上乘三家涮涮鍋共和國 (rating=4.2, reviews=1060, popular)
  [494] 花蓮美崙海鮮 (rating=4.2, reviews=1507, popular)
  [495] 花蓮香扁食 (rating=4.2, reviews=4587, popular)
  [499] 田村壽司 (rating=4.2, reviews=4124, popular)
  [504] 怡味餐店 (rating=4.2, reviews=2099, popular)
  [505] 美崙紅茶 (rating=4.2, reviews=3114, popular)
  [506] 米噹泰式燒烤 (rating=4.2, reviews=4395, popular)
  [508] 櫻の田野養生休閒農莊 (rating=4.2, reviews=2388, popular)
  [509] 銘師父餐廳 (rating=4.2, reviews=1034, popular)
  [510] 熱海排骨大王 (rating=4.2, reviews=1180, popular)
  [512] 京湘排骨麵 (rating=4.2, reviews=1169, popular)
  [515] 綠精靈瑞穗鮮奶鍋 (rating=4.2, reviews=1409, popular)
  [522] 佳興冰菓店 (rating=4.2, reviews=12577, popular)
  [523] 馬太鞍欣綠農園 (rating=4.2, reviews=1069, popular)
  [524] 富里鄉農特產展售中心 (rating=4.2, reviews=4022, popular)
  [529] 鵝肉先生 (rating=4.1, reviews=2194, popular)
  [530] 光復客家風味餐 (rating=4.1, reviews=1575, popular)
  [531] 璞石閣玉里麵 (rating=4.1, reviews=1982, popular)
  [532] 泰瘋隨意料理 (rating=4.1, reviews=1685, popular)
  [534] 涮乃葉 花蓮遠百店 (rating=4.1, reviews=1638, popular)
  [536] 大同蘭陽米粉羹 (rating=4.1, reviews=1029, popular)
  [538] 花蓮承香扁食(沒內用) (rating=4.1, reviews=1139, popular)
  [539] 花本家壽司 (rating=4.1, reviews=2555, popular)
  [540] 萊迦早午餐 (rating=4.1, reviews=1072, popular)
  [541] 一心泡泡冰(花蓮電視牆託播) (rating=4.1, reviews=1921, popular)
  [558] 立川漁場 | 黃金蜆的故鄉 (rating=4.1, reviews=15669, popular)
  [560] 項鍊海岸工作室★餐廳★咖啡★弟朋★德菲兒 (rating=4.1, reviews=1286, popular)
  [561] 達基力部落屋 (rating=4.1, reviews=2517, popular)
  [562] 崇德瑩農場 (rating=4.1, reviews=4745, popular)
  [563] 紅瓦屋老地方文化美食餐廳 (rating=4.1, reviews=1575, popular)
  [564] 炸彈蔥油餅 (rating=4, reviews=10073, popular)
  [565] 炸蛋蔥油餅 黃車 (rating=4, reviews=10073, popular)
  [566] 液香扁食店 (rating=4, reviews=8165, popular)
  [567] 戴記扁食 (rating=4, reviews=6823, popular)
  [568] 玉里麵（阿森麵店） (rating=4, reviews=3956, popular)
  [569] 瑞穗溫泉區山產 (rating=4, reviews=1377, popular)
  [570] 傳統美食玉里麵 (rating=4, reviews=3956, popular)
  [571] 055龍蝦海鮮 (rating=4, reviews=8756, popular)
  [574] 竹陽活海鮮/花蓮美食/花蓮小吃/花蓮海鮮餐廳/花蓮必吃/花蓮美食推薦/花蓮活海鮮/花蓮合菜 (rating=4, reviews=1327, popular)
  [575] 芳村海鮮餐廳 (rating=4, reviews=1159, popular)
  [576] 地6攤牛排-仁里店 (rating=4, reviews=1064, popular)
  [580] 玉里橋頭麵 (rating=4, reviews=1011, popular)
  [582] 瑞穗綠茶肉圓 (rating=4, reviews=1921, popular)
  [584] 吉蒸牧場 (rating=4, reviews=2697, popular)
  [586] 口福海鮮餐廳 (rating=4, reviews=1949, popular)
  [587] 壽豐早餐 (rating=4, reviews=1803, popular)
  [588] 鯉魚潭樹屋餐廳 (rating=4, reviews=1486, popular)
  [593] 艾蘭哥爾藝文咖啡 (rating=5, reviews=1382, popular)
  [594] 時光二手書店咖啡 (rating=4.5, reviews=1347, popular)
台東: 526 total, 170 candidates
  [0] 古早味阿桑剉冰 (rating=4.6, reviews=1731, popular)
  [4] 小牧鍋Minimoo-台東新生店 (rating=5, reviews=8772, popular)
  [5] 迪迪加快煮鍋 (rating=5, reviews=1550, popular)
  [6] 路易奇電力公司 台東電廠 (rating=5, reviews=5608, popular)
  [7] 艾蘭哥爾藝文咖啡館 (rating=5, reviews=1382, popular)
  [8] 癒室 (rating=5, reviews=1852, popular)
  [10] 天來茶園-鹿野高台（麵店10:00～14:00週一休） (rating=5, reviews=1680, popular)
  [18] 長生塩人 台東 (rating=4.9, reviews=5442, popular)
  [20] 井碳吉炭火燒肉餐廳 ｜ 台東美食 (rating=4.9, reviews=2521, popular)
  [22] 八方悅鍋物 台東店 (rating=4.9, reviews=1652, popular)
  [23] 聚日式鍋物 台東秀泰店 (rating=4.9, reviews=8504, popular)
  [25] 屋賀爺燒肉餐廳(台東總店) (rating=4.9, reviews=11361, popular)
  [27] 台東連城記地瓜酥(正氣門市) (rating=4.9, reviews=2514, popular)
  [29] 武田信玄 (rating=4.9, reviews=16191, popular)
  [30] 荳荳阿稼早午餐 (rating=4.9, reviews=1533, popular)
  [41] 双亭院咖啡餐食甜點 (rating=4.9, reviews=2167, popular)
  [42] 絲綢咖啡（ 大溪社區入口處）） (rating=4.9, reviews=1083, popular)
  [43] 紅葉谷綠能溫泉園區 Vakangan Hot Spring Park (rating=4.9, reviews=3811, popular)
  [56] 義回生餓回熟｜one two pasta (rating=4.8, reviews=1239, popular)
  [61] 綠島海草冰 (rating=4.8, reviews=1447, popular)
  [69] 養鍋Yang Guo石頭涮涮鍋（台東光明店） (rating=4.8, reviews=1376, popular)
  [70] 潮味決．湯滷專門店 台東中華分社 (rating=4.8, reviews=1066, popular)
  [71] 京厚屋-台東更生店 (rating=4.8, reviews=1166, popular)
  [72] 薄荷巴黎 Coffee House 台東咖啡店&民宿（台東縣合法民宿字第：1671） (rating=4.8, reviews=1217, popular)
  [78] 台東知本東益古早味小吃 (rating=4.8, reviews=1227, popular)
  [79] 陳家麻糬商行 (rating=4.8, reviews=3067, popular)
  [82] 初心 四季料理 (rating=4.8, reviews=1270, popular)
  [92] 坐著做。新星食堂 (rating=4.8, reviews=6876, popular)
  [95] 1:月亮彎彎景觀咖啡 (rating=4.8, reviews=1222, popular)
  [99] 綠島竹屋餐廳 (rating=4.8, reviews=6783, popular)
  [100] 綠島小叮噹黑糖海草冰 (rating=4.8, reviews=1447, popular)
  [118] 牛匠太郎x直火炙燒丼飯-台東店 (rating=4.7, reviews=1968, popular)
  [119] 鯊魚黑幫餐廳成功店 (rating=4.7, reviews=1949, popular)
  [120] 舒食男孩 (rating=4.7, reviews=1303, popular)
  [124] 拾鑶台灣味火鍋（台東店） (rating=4.7, reviews=1389, popular)
  [125] 千葉火鍋-台東尊爵館 (rating=4.7, reviews=6417, popular)
  [126] 燒肉MEN -YAKINIKU.MEN ⎥日式燒肉⎪台東餐廳⎪生日優惠 | 推薦餐廳 | 親子友善 | (rating=4.7, reviews=1793, popular)
  [133] 藍色海灣Bluebayou(台東海景咖啡) (rating=4.7, reviews=1347, popular)
  [136] 雷門酒場 (rating=4.7, reviews=1577, popular)
  [139] 鐵花-村長的家 (rating=4.7, reviews=1711, popular)
  [173] 王記 鬼頭刀專賣店 (rating=4.6, reviews=4026, popular)
  [174] 成功鬼頭刀魚乾 (rating=4.6, reviews=4025, popular)
  [175] 長濱金剛大道周邊小吃 (rating=4.6, reviews=2528, popular)
  [176] 茶自點 台東旗艦店 (rating=4.6, reviews=1321, popular)
  [177] 鐵花小路美食堂 (rating=4.6, reviews=1189, popular)
  [178] 歐鄉牛排館台東店 (rating=4.6, reviews=5050, popular)
  [183] 湯蒸火鍋-台東新生店 (rating=4.6, reviews=3768, popular)
  [184] 火鍋世家-台東新生店 (rating=4.6, reviews=1358, popular)
  [185] 打鐵火鍋輕燒肉 (rating=4.6, reviews=1773, popular)
  [186] 來來牛排台東店 (rating=4.6, reviews=6821, popular)
  [187] 葉氏海鮮 Yeh‘s Fish (rating=4.6, reviews=4017, popular)
  [189] 小魚兒的家 (rating=4.6, reviews=3226, popular)
  [190] 初早餐 (rating=4.6, reviews=1871, popular)
  [194] 果珍濃台東水果珍奶（早上10點開始營業，賣完就會提前打烊） (rating=4.6, reviews=1054, popular)
  [206] 春一枝鹿野76水果冰棒公園：冰棒無人誠信商店/冰棒手作教室 (rating=4.6, reviews=1112, popular)
  [212] 墾墨咖啡 Community Cafe'（Last Order 17:00) (rating=4.5, reviews=1130, popular)
  [218] 寶桑豆花 (rating=4.5, reviews=2977, popular)
  [220] 蘭嶼芋頭糕 (rating=4.5, reviews=1829, popular)
  [221] 好漁日鬼頭刀魚主題餐廳 (rating=4.5, reviews=4018, popular)
  [222] 我在玩-玩冰箱 (rating=4.5, reviews=4648, popular)
  [224] 台東客來吃樂（店休不固定，請查詢粉絲專頁）） (rating=4.5, reviews=3829, popular)
  [226] 卡滋爾鬼頭刀特色美食 (rating=4.5, reviews=1150, popular)
  [230] 新北斗石頭火鍋 (rating=4.5, reviews=1000, popular)
  [231] 錢都日式涮涮鍋–台東博愛店CHIEN TU HOT POT (rating=4.5, reviews=1563, popular)
  [232] 牛比蔥壽喜燒專門店-台東博愛加盟店 (rating=4.5, reviews=2104, popular)
  [233] 御饌鼎皇火鍋 (rating=4.5, reviews=1114, popular)
  [234] 樂烤和牛-台東店｜台東美食｜燒烤吃到飽 (rating=4.5, reviews=2424, popular)
  [236] 808山海產店 (rating=4.5, reviews=1223, popular)
  [238] 人x人 (rating=4.5, reviews=1026, popular)
  [239] 漁采時令料理．更生店 (rating=4.5, reviews=1312, popular)
  [242] 美濃冰品 (rating=4.5, reviews=1900, popular)
  [245] 杉原陳家麻糬 (rating=4.5, reviews=1204, popular)
  [249] 台東古早味寶桑豆花 (rating=4.5, reviews=2977, popular)
  [250] 台東-老東芳青草茶 - ( 旗艦店 ) (rating=4.5, reviews=1748, popular)
  [256] 蘇天助素食麵 (rating=4.5, reviews=1380, popular)
  [263] 星星部落景觀咖啡 (rating=4.5, reviews=5671, popular)
  [265] 星龍花園咖啡 (rating=4.5, reviews=1039, popular)
  [272] 延平蝴蝶谷秘境 (rating=4.5, reviews=1063, popular)
  [275] 雯雯芋頭冰＜沒賣飯＞ (rating=4.5, reviews=1829, popular)
  [287] 全家福客家菜館 (rating=4.4, reviews=2380, popular)
  [289] 阿牛冠軍牛肉麵 (rating=4.4, reviews=1367, popular)
  [291] 成功旗魚料理 (rating=4.4, reviews=1974, popular)
  [293] 綠島鹿肉料理 (rating=4.4, reviews=2807, popular)
  [294] 七里坡紅藜養生料理 (rating=4.4, reviews=2049, popular)
  [295] 佳濱成功旗魚（店休如有異動會在粉專公佈） (rating=4.4, reviews=1974, popular)
  [303] 億品鍋 Mini Shabu Shabu 台東店 (rating=4.4, reviews=1108, popular)
  [306] 可可娜咖啡 (rating=4.4, reviews=2796, popular)
  [308] 阿咪米苔目（店休公告於臉書專頁） (rating=4.4, reviews=2800, popular)
  [316] 小時厚牛排 台東店 (rating=4.4, reviews=1249, popular)
  [317] 貴族世家-台東店 (rating=4.4, reviews=4737, popular)
  [327] 欣逢平價海鮮 (rating=4.4, reviews=1298, popular)
  [328] 都蘭.錦鸞越南美食Vietnam Food (rating=4.4, reviews=1457, popular)
  [330] 會走路的樹-白榕樹 (rating=4.4, reviews=1505, popular)
  [331] 綠島 非炒不可海鮮食堂 (rating=4.4, reviews=2808, popular)
  [333] 阿嬤的蔥油餅(阿嬤的蔥Q餅) (rating=4.4, reviews=1074, popular)
  [334] 蘭嶼旅人·Rover (rating=4.4, reviews=1677, popular)
  [337] 東鼎牛肉麵館 (rating=4.3, reviews=3189, popular)
  [340] 台東福井日式料理（用餐均70分鐘） (rating=4.3, reviews=1245, popular)
  [348] 成功豆花 (rating=4.3, reviews=5076, popular)
  [349] 成功三仙台周邊小吃 (rating=4.3, reviews=3228, popular)
  [352] 宋媽媽海產店 (rating=4.3, reviews=3228, popular)
  [353] 新澎湖海鮮餐廳 (rating=4.3, reviews=1570, popular)
  [355] 大陸婆婆麵食館 (rating=4.3, reviews=1524, popular)
  [357] 北平半畝園 臺東 (rating=4.3, reviews=1026, popular)
  [358] 萬家鄉 原味料理 (rating=4.3, reviews=1400, popular)
  [360] 拼經濟海鮮店 (rating=4.3, reviews=1722, popular)
  [363] 開喜小吃部 (rating=4.3, reviews=1317, popular)
  [364] 慧子的店 (rating=4.3, reviews=1379, popular)
  [368] 黃記蔥油餅《海邊店》 (rating=4.3, reviews=4120, popular)
  [369] 南北餃子館 (rating=4.3, reviews=1872, popular)
  [374] 爭鮮迴轉壽司-康達盛通 台東店 (rating=4.3, reviews=1019, popular)
  [378] 王子豬排 (rating=4.3, reviews=1505, popular)
  [381] 多力米故事館（訂米專線） (rating=4.3, reviews=1148, popular)
  [391] 哇哇哇大骨麵 (rating=4.3, reviews=1677, popular)
  [392] 正一茶園田媽媽傅姐風味餐 (rating=4.3, reviews=1184, popular)
  [393] 鹿野 大骨麵 (rating=4.3, reviews=1721, popular)
  [394] 天龍飯店 (rating=4.3, reviews=1957, popular)
  [397] 大武之心南迴驛站 (rating=4.3, reviews=4444, popular)
  [401] 美樂地我家小館 (rating=4.2, reviews=3411, popular)
  [402] 大眾滷肉飯中正店 (rating=4.2, reviews=2026, popular)
  [403] 河腩味•牛肉麵 (rating=4.2, reviews=1808, popular)
  [404] 鼎倫牛肉麵（金崙村） (rating=4.2, reviews=5575, popular)
  [406] 七里香水煎包 (rating=4.2, reviews=2687, popular)
  [408] 榕樹下米苔目 (rating=4.2, reviews=14770, popular)
  [409] 原始部落山地美食 (rating=4.2, reviews=3696, popular)
  [410] 池上大坡池周邊小吃 (rating=4.2, reviews=10242, popular)
  [412] 榕樹下米苔目*小滿雨生 (rating=4.2, reviews=14771, popular)
  [415] 阿鋐炸雞-正氣店 (rating=4.2, reviews=7862, popular)
  [417] 蘭田手作日式豬排 (rating=4.2, reviews=2212, popular)
  [419] 六扇門時尚湯鍋-台東博愛店 (rating=4.2, reviews=3065, popular)
  [421] 台南七股海產店(台東店) (rating=4.2, reviews=1224, popular)
  [422] 特選海產店 (rating=4.2, reviews=5049, popular)
  [425] 陳記麻糬 (rating=4.2, reviews=5813, popular)
  [427] 鄰家蒸餃 (rating=4.2, reviews=2820, popular)
  [429] 早點大王 (rating=4.2, reviews=1704, popular)
  [443] 大池豆皮店(週三營業與否以fb公告為主）) (rating=4.2, reviews=10242, popular)
  [446] 關山臭豆腐 (rating=4.2, reviews=4777, popular)
  [449] 響羅雷 原住民音樂餐廳 (rating=4.2, reviews=1678, popular)
  [450] 俩吆久景觀貨櫃 (rating=4.2, reviews=1303, popular)
  [451] 九格浪 原住民風味餐 (rating=4.2, reviews=1725, popular)
  [452] 雲棧 部落音樂餐廳 (rating=4.2, reviews=1179, popular)
  [454] 池上福原豆腐店 (rating=4.2, reviews=7632, popular)
  [455] 纏記舊街東河包子 (rating=4.2, reviews=8412, popular)
  [457] 愛嬌姨茶餐廳 (rating=4.2, reviews=1299, popular)
  [458] 布農部落休閒農場 (rating=4.2, reviews=4120, popular)
  [459] 蘭嶼漂流木餐廳 (rating=4.2, reviews=1802, popular)
  [464] 楊記搖搖地瓜酥 (rating=4.1, reviews=2668, popular)
  [465] 六吋盤早午餐-台東新生店 (rating=4.1, reviews=1360, popular)
  [468] 成功漁港海鮮餐廳 (rating=4.1, reviews=2087, popular)
  [469] 旗遇海味 (rating=4.1, reviews=2087, popular)
  [475] 美娥海產（富岡） (rating=4.1, reviews=2885, popular)
  [476] 都蘭海角咖啡 (rating=4.1, reviews=4304, popular)
  [477] 久昂臭豆腐 (rating=4.1, reviews=1752, popular)
  [478] 丸八餐廳 (rating=4.1, reviews=1590, popular)
  [479] 中華早點（台東市） (rating=4.1, reviews=2100, popular)
  [480] 台東糖廠冰店 (rating=4.1, reviews=1253, popular)
  [484] 老地方客家菜｜大溪超人氣美食｜團體合菜 家庭聚餐推薦｜道地老店 (rating=4.1, reviews=4524, popular)
  [489] 山水軒渡假村 (rating=4.1, reviews=2082, popular)
  [494] 米巴奈山地美食坊 (rating=4.1, reviews=2221, popular)
