Total changes: 6813
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 安樂區 -> 安樂
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 暖暖區 -> 暖暖
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中山區 -> 中山
  [基隆] 中正區 -> 中正
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 安樂區 -> 安樂
  [基隆] 七堵區 -> 七堵
  [基隆] 安樂區 -> 安樂
  [基隆] 安樂區 -> 安樂
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 安樂區 -> 安樂
  [基隆] 仁愛區 -> 仁愛
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 暖暖區 -> 暖暖
  [基隆] 中山區 -> 中山
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 安樂區 -> 安樂
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 暖暖區 -> 暖暖
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中山區 -> 中山
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 中山區 -> 中山
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 中山區 -> 中山
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 暖暖區 -> 暖暖
  [基隆] 暖暖區 -> 暖暖
  [基隆] 中山區 -> 中山
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 安樂區 -> 安樂
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 暖暖區 -> 暖暖
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中山區 -> 中山
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中山區 -> 中山
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 中正區 -> 中正
  [基隆] 暖暖區 -> 暖暖
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 暖暖區 -> 暖暖
  [基隆] 暖暖區 -> 暖暖
  [基隆] 安樂區 -> 安樂
  [基隆] 仁愛區 -> 仁愛
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 七堵區 -> 七堵
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 中正區 -> 中正
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 安樂區 -> 安樂
  [基隆] 暖暖區 -> 暖暖
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 暖暖區 -> 暖暖
  [基隆] 中山區 -> 中山
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 安樂區 -> 安樂
  [基隆] 信義區 -> 信義
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中山區 -> 中山
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中山區 -> 中山
  [基隆] 中山區 -> 中山
  [基隆] 中山區 -> 中山
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 暖暖區 -> 暖暖
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中山區 -> 中山
  [基隆] 七堵區 -> 七堵
  [基隆] 安樂區 -> 安樂
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [台北] 北投區 -> 北投
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 大安區 -> 大安
  [台北] 萬華區 -> 萬華
  [台北] 大安區 -> 大安
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 大同區 -> 大同
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 信義區 -> 信義
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大同區 -> 大同
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大同區 -> 大同
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 中山區 -> 中山
  [台北] 萬華區 -> 萬華
  [台北] 中山區 -> 中山
  [台北] 大同區 -> 大同
  [台北] 萬華區 -> 萬華
  [台北] 大同區 -> 大同
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 大安區 -> 大安
  [台北] 中山區 -> 中山
  [台北] 大同區 -> 大同
  [台北] 信義區 -> 信義
  [台北] 士林區 -> 士林
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 萬華區 -> 萬華
  [台北] 大同區 -> 大同
  [台北] 大安區 -> 大安
  [台北] 松山區 -> 松山
  [台北] 信義區 -> 信義
  [台北] 文山區 -> 文山
  [台北] 信義區 -> 信義
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 大安區 -> 大安
  [台北] 大同區 -> 大同
  [台北] 中正區 -> 中正
  [台北] 松山區 -> 松山
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 信義區 -> 信義
  [台北] 松山區 -> 松山
  [台北] 萬華區 -> 萬華
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 中正區 -> 中正
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 大安區 -> 大安
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 松山區 -> 松山
  [台北] 信義區 -> 信義
  [台北] 大安區 -> 大安
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 松山區 -> 松山
  [台北] 士林區 -> 士林
  [台北] 信義區 -> 信義
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 信義區 -> 信義
  [台北] 大同區 -> 大同
  [台北] 中正區 -> 中正
  [台北] 北投區 -> 北投
  [台北] 南港區 -> 南港
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 士林區 -> 士林
  [台北] 中正區 -> 中正
  [台北] 信義區 -> 信義
  [台北] 中正區 -> 中正
  [台北] 松山區 -> 松山
  [台北] 文山區 -> 文山
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 內湖區 -> 內湖
  [台北] 內湖區 -> 內湖
  [台北] 內湖區 -> 內湖
  [台北] 內湖區 -> 內湖
  [台北] 南港區 -> 南港
  [台北] 松山區 -> 松山
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 萬華區 -> 萬華
  [台北] 士林區 -> 士林
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 士林區 -> 士林
  [台北] 松山區 -> 松山
  [台北] 萬華區 -> 萬華
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 大同區 -> 大同
  [台北] 萬華區 -> 萬華
  [台北] 內湖區 -> 內湖
  [台北] 大安區 -> 大安
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 信義區 -> 信義
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 萬華區 -> 萬華
  [台北] 大安區 -> 大安
  [台北] 文山區 -> 文山
  [台北] 文山區 -> 文山
  [台北] 文山區 -> 文山
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 內湖區 -> 內湖
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 萬華區 -> 萬華
  [台北] 萬華區 -> 萬華
  [台北] 萬華區 -> 萬華
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 北投區 -> 北投
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 信義區 -> 信義
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 中山區 -> 中山
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 士林區 -> 士林
  [台北] 內湖區 -> 內湖
  [台北] 松山區 -> 松山
  [台北] 信義區 -> 信義
  [台北] 文山區 -> 文山
  [台北] 文山區 -> 文山
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 內湖區 -> 內湖
  [台北] 內湖區 -> 內湖
  [台北] 內湖區 -> 內湖
  [台北] 南港區 -> 南港
  [台北] 松山區 -> 松山
  [台北] 信義區 -> 信義
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 大同區 -> 大同
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 北投區 -> 北投
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 大同區 -> 大同
  [台北] 文山區 -> 文山
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 南港區 -> 南港
  [台北] 文山區 -> 文山
  [台北] 文山區 -> 文山
  [台北] 文山區 -> 文山
  [台北] 文山區 -> 文山
  [台北] 文山區 -> 文山
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 北投區 -> 北投
  [台北] 南港區 -> 南港
  [台北] 南港區 -> 南港
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 萬華區 -> 萬華
  [台北] 松山區 -> 松山
  [台北] 大安區 -> 大安
  [台北] 信義區 -> 信義
  [台北] 士林區 -> 士林
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 萬華區 -> 萬華
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 中山區 -> 中山
  [台北] 大安區 -> 大安
  [台北] 北投區 -> 北投
  [台北] 內湖區 -> 內湖
  [台北] 松山區 -> 松山
  [台北] 大安區 -> 大安
  [台北] 信義區 -> 信義
  [台北] 萬華區 -> 萬華
  [台北] 萬華區 -> 萬華
  [台北] 信義區 -> 信義
  [台北] 松山區 -> 松山
  [台北] 南港區 -> 南港
  [台北] 信義區 -> 信義
  [台北] 文山區 -> 文山
  [台北] 士林區 -> 士林
  [台北] 北投區 -> 北投
  [台北] 內湖區 -> 內湖
  [台北] 內湖區 -> 內湖
  [台北] 南港區 -> 南港
  [台北] 南港區 -> 南港
  [台北] 南港區 -> 南港
  [台北] 士林區 -> 士林
  [台北] 中山區 -> 中山
  [台北] 大同區 -> 大同
  [台北] 松山區 -> 松山
  [台北] 中山區 -> 中山
  [台北] 信義區 -> 信義
  [台北] 大安區 -> 大安
  [台北] 信義區 -> 信義
  [台北] 中正區 -> 中正
  [台北] 萬華區 -> 萬華
  [台北] 萬華區 -> 萬華
  [台北] 萬華區 -> 萬華
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 北投區 -> 北投
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 信義區 -> 信義
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 信義區 -> 信義
  [台北] 信義區 -> 信義
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 大同區 -> 大同
  [台北] 萬華區 -> 萬華
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 北投區 -> 北投
  [台北] 大同區 -> 大同
  [台北] 士林區 -> 士林
  [台北] 萬華區 -> 萬華
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 內湖區 -> 內湖
  [台北] 內湖區 -> 內湖
  [台北] 內湖區 -> 內湖
  [台北] 南港區 -> 南港
  [台北] 南港區 -> 南港
  [台北] 南港區 -> 南港
  [台北] 南港區 -> 南港
  [台北] 南港區 -> 南港
  [台北] 南港區 -> 南港
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 萬華區 -> 萬華
  [台北] 士林區 -> 士林
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 松山區 -> 松山
  [台北] 萬華區 -> 萬華
  [台北] 萬華區 -> 萬華
  [台北] 萬華區 -> 萬華
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 大安區 -> 大安
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 中正區 -> 中正
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 士林區 -> 士林
  [台北] 信義區 -> 信義
  [台北] 中正區 -> 中正
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 中山區 -> 中山
  [台北] 信義區 -> 信義
